
======================================================================
USING PostgreSQL + PostGIS TEST DATABASE
Database URL: postgresql+asyncpg://demeter_test:***@localhost:5434/demeterai_test
All tests (unit + integration) will use PostgreSQL
======================================================================

============================= test session starts ==============================
platform linux -- Python 3.12.11, pytest-8.4.2, pluggy-1.6.0 -- /home/lucasg/anaconda3/envs/demeterai_docs/bin/python3.12
cachedir: .pytest_cache
rootdir: /home/lucasg/proyectos/DemeterDocs
configfile: pyproject.toml
plugins: anyio-4.11.0, asyncio-1.2.0, cov-7.0.0
asyncio: mode=Mode.AUTO, debug=False, asyncio_default_fixture_loop_scope=None, asyncio_default_test_loop_scope=function
collecting ... collected 1327 items

tests/core/test_exceptions.py::TestAppBaseException::test_base_exception_creation PASSED [  0%]
tests/core/test_exceptions.py::TestAppBaseException::test_base_exception_default_values PASSED [  0%]
tests/core/test_exceptions.py::TestAppBaseException::test_base_exception_logs_server_errors PASSED [  0%]
tests/core/test_exceptions.py::TestAppBaseException::test_base_exception_logs_client_errors PASSED [  0%]
tests/core/test_exceptions.py::TestNotFoundException::test_not_found_exception_creation PASSED [  0%]
tests/core/test_exceptions.py::TestNotFoundException::test_not_found_exception_with_uuid PASSED [  0%]
tests/core/test_exceptions.py::TestValidationException::test_validation_exception_with_value PASSED [  0%]
tests/core/test_exceptions.py::TestValidationException::test_validation_exception_without_value PASSED [  0%]
tests/core/test_exceptions.py::TestProductMismatchException::test_product_mismatch_exception PASSED [  0%]
tests/core/test_exceptions.py::TestConfigNotFoundException::test_config_not_found_exception PASSED [  0%]
tests/core/test_exceptions.py::TestUnauthorizedException::test_unauthorized_exception_with_reason PASSED [  0%]
tests/core/test_exceptions.py::TestUnauthorizedException::test_unauthorized_exception_default PASSED [  0%]
tests/core/test_exceptions.py::TestForbiddenException::test_forbidden_exception_with_user_id PASSED [  0%]
tests/core/test_exceptions.py::TestForbiddenException::test_forbidden_exception_without_user_id PASSED [  1%]
tests/core/test_exceptions.py::TestDatabaseException::test_database_exception_complete PASSED [  1%]
tests/core/test_exceptions.py::TestDatabaseException::test_database_exception_minimal PASSED [  1%]
tests/core/test_exceptions.py::TestS3UploadException::test_s3_upload_exception PASSED [  1%]
tests/core/test_exceptions.py::TestMLProcessingException::test_ml_processing_exception PASSED [  1%]
tests/core/test_exceptions.py::TestExternalServiceException::test_external_service_exception_complete PASSED [  1%]
tests/core/test_exceptions.py::TestExternalServiceException::test_external_service_exception_minimal PASSED [  1%]
tests/core/test_exceptions.py::TestCeleryTaskException::test_celery_task_exception_complete PASSED [  1%]
tests/core/test_exceptions.py::TestCeleryTaskException::test_celery_task_exception_minimal PASSED [  1%]
tests/core/test_exceptions.py::TestExceptionHandlers::test_app_exception_handler_production_mode PASSED [  1%]
tests/core/test_exceptions.py::TestExceptionHandlers::test_app_exception_handler_debug_mode PASSED [  1%]
tests/core/test_exceptions.py::TestExceptionHandlers::test_generic_exception_handler PASSED [  1%]
tests/core/test_exceptions.py::TestExceptionHandlers::test_correlation_id_in_exception_response PASSED [  1%]
tests/core/test_exceptions.py::TestExceptionHandlers::test_timestamp_format_in_exception_response PASSED [  2%]
tests/core/test_exceptions.py::TestExceptionLogging::test_exception_includes_correlation_id_in_logs PASSED [  2%]
tests/core/test_exceptions.py::TestExceptionLogging::test_server_error_logs_with_stack_trace PASSED [  2%]
tests/core/test_exceptions.py::TestExceptionLogging::test_client_error_logs_without_stack_trace PASSED [  2%]
tests/core/test_exceptions.py::test_all_exceptions_inherit_from_base PASSED [  2%]
tests/core/test_exceptions.py::test_exception_count PASSED               [  2%]
tests/core/test_logging.py::TestLoggingConfiguration::test_setup_logging_default_level PASSED [  2%]
tests/core/test_logging.py::TestLoggingConfiguration::test_setup_logging_debug_level PASSED [  2%]
tests/core/test_logging.py::TestLoggingConfiguration::test_setup_logging_warning_level PASSED [  2%]
tests/core/test_logging.py::TestLoggingConfiguration::test_get_logger_returns_bound_logger PASSED [  2%]
tests/core/test_logging.py::TestCorrelationId::test_set_correlation_id_with_value PASSED [  2%]
tests/core/test_logging.py::TestCorrelationId::test_set_correlation_id_generates_uuid PASSED [  2%]
tests/core/test_logging.py::TestCorrelationId::test_get_correlation_id_empty_by_default PASSED [  2%]
tests/core/test_logging.py::TestCorrelationId::test_clear_correlation_id PASSED [  3%]
tests/core/test_logging.py::TestStructuredLogging::test_logger_outputs_json PASSED [  3%]
tests/core/test_logging.py::TestStructuredLogging::test_logger_includes_timestamp PASSED [  3%]
tests/core/test_logging.py::TestStructuredLogging::test_logger_includes_log_level PASSED [  3%]
